antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'abdominal pain', 'vomiting'})",frozenset({'body pain'}),0.02693333951650014,0.3063177993158088,0.02693333951650014,1.0,3.264583390954098,0.018683178227580303,inf
frozenset({'cramp'}),frozenset({'abdominal pain'}),0.007398396895099008,0.11112042549700175,0.00679375452589974,0.9182738669238187,8.263772054657904,0.005971641514920642,10.876319985364125
frozenset({'abdominal pain'}),frozenset({'body pain'}),0.11112042549700175,0.3063177993158088,0.09688591343804288,0.8719001300139645,2.846390683014307,0.06284774924076501,5.415167093922977
frozenset({'diarrhea'}),frozenset({'vomiting'}),0.06503115959348056,0.15849834659741519,0.05023659531054361,0.7725003771204454,4.873870256089116,0.0399292640376643,3.6989144981928255
frozenset({'chest'}),frozenset({'body pain'}),0.013355194395197107,0.3063177993158088,0.009824992598035893,0.7356682581549864,2.4016503768249002,0.005734058841464291,2.624286420701301
"frozenset({'abdominal pain', 'fever'})",frozenset({'body pain'}),0.012563273416068861,0.3063177993158088,0.009144101080508399,0.7278438331854481,2.376106889025579,0.005295746815495381,2.5488388111994116
"frozenset({'body pain', 'vomiting'})",frozenset({'abdominal pain'}),0.03757031865901381,0.11112042549700175,0.02693333951650014,0.7168781228859323,6.451362291672246,0.022758509721052582,3.1395651355648346
"frozenset({'body pain', 'fever'})",frozenset({'abdominal pain'}),0.014352675943795013,0.11112042549700175,0.009144101080508399,0.6371007829004598,5.733426415989111,0.007549225622613316,2.4493841061640707
"frozenset({'diarrhea', 'fever'})",frozenset({'vomiting'}),0.021438495920893516,0.15849834659741519,0.012388480046801816,0.5778614363859481,3.6458515107019545,0.008990513889804763,1.993425206638888
frozenset({'headache'}),frozenset({'vision'}),0.020879781401272068,0.043336270337565236,0.009128940431133195,0.437214368086106,10.08887854631816,0.008224088579738402,1.6998723411062562
"frozenset({'vomiting', 'fever'})",frozenset({'diarrhea'}),0.03352197937438243,0.06503115959348056,0.012388480046801816,0.36956290404107583,5.682858899507074,0.010208506856216989,1.4830485807380802
frozenset({'diarrhea'}),frozenset({'fever'}),0.06503115959348056,0.1045589856277044,0.021438495920893516,0.3296649799097654,3.1529091252241064,0.014638903839605831,1.335811180283792
frozenset({'bleeding'}),frozenset({'cough'}),0.04469582386535916,0.05932139149790783,0.014683088919883994,0.3285114279158395,5.53782403987313,0.012031670454045492,1.4008855066325578
frozenset({'fever'}),frozenset({'vomiting'}),0.1045589856277044,0.15849834659741519,0.03352197937438243,0.32060352511205215,2.022756274716121,0.016949553030488385,1.2386017362562454
frozenset({'vomiting'}),frozenset({'diarrhea'}),0.15849834659741519,0.06503115959348056,0.05023659531054361,0.3169534344616493,4.873870256089116,0.0399292640376643,1.3688215234192906
frozenset({'body pain'}),frozenset({'abdominal pain'}),0.3063177993158088,0.11112042549700175,0.09688591343804288,0.31629214382725124,2.846390683014307,0.06284774924076501,1.3000868228701614
frozenset({'headache'}),frozenset({'vomiting'}),0.020879781401272068,0.15849834659741519,0.00625867278324552,0.2997480032460599,1.8911743225146564,0.0029492619538284367,1.2017126081802205
