antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'abdominal pain', 'vomiting'})",frozenset({'body pain'}),0.019745321368362396,0.2937297332552557,0.019745321368362396,1.0,3.4044902057327118,0.013945533389794009,inf
frozenset({'abdominal pain'}),frozenset({'body pain'}),0.0864648274942895,0.2937297332552557,0.07594845175185494,0.8783739464104163,2.9904154975250523,0.050551161035995586,5.806899475074564
"frozenset({'abdominal pain', 'fever'})",frozenset({'body pain'}),0.010241308074370358,0.2937297332552557,0.007748684566860585,0.756610826526374,2.575874148460372,0.004740507877990883,2.9018146397595483
frozenset({'diarrhea'}),frozenset({'vomiting'}),0.05060252580177263,0.12353374045238706,0.037660166656977856,0.744234918322172,6.024547751867178,0.03140904736834646,3.4268409659284345
frozenset({'chest'}),frozenset({'body pain'}),0.014959994668791589,0.2937297332552557,0.011067928953140663,0.7398350867216377,2.5187613066012267,0.006673733709576462,2.7147022165478303
"frozenset({'body pain', 'vomiting'})",frozenset({'abdominal pain'}),0.028008694406910152,0.0864648274942895,0.019745321368362396,0.7049711450845398,8.153270705722498,0.01732355443812864,3.096426526712046
"frozenset({'body pain', 'fever'})",frozenset({'abdominal pain'}),0.013676818176017786,0.0864648274942895,0.007748684566860585,0.56655608542401,6.552445680429163,0.006566120842600444,2.1076202520904292
"frozenset({'diarrhea', 'fever'})",frozenset({'vomiting'}),0.017722014346054978,0.12353374045238706,0.010031462636878067,0.5660452836226898,4.582110778397887,0.007842195916359032,2.0197182481721265
frozenset({'headache'}),frozenset({'vision'}),0.02212026128592717,0.04627659046536062,0.00920484175810776,0.4161271713351708,8.992174383431601,0.008181191485592139,1.6334437273191251
"frozenset({'vomiting', 'fever'})",frozenset({'diarrhea'}),0.02693252760247334,0.05060252580177263,0.010031462636878067,0.372466438536457,7.36062938825495,0.008668608713966956,1.5129031059056486
frozenset({'diarrhea'}),frozenset({'fever'}),0.05060252580177263,0.09884712618091229,0.017722014346054978,0.3502199557286559,3.5430464117659346,0.012720100093054288,1.3868583403936792
frozenset({'vomiting'}),frozenset({'diarrhea'}),0.12353374045238706,0.05060252580177263,0.037660166656977856,0.3048573330578702,6.024547751867179,0.03140904736834646,1.3657591734003922
frozenset({'bleeding'}),frozenset({'cough'}),0.040959560799170826,0.06014765745851654,0.011418143973820363,0.27876626973137636,4.6346986983431515,0.008954522341220555,1.3031175652190246
frozenset({'fever'}),frozenset({'vomiting'}),0.09884712618091229,0.12353374045238706,0.02693252760247334,0.27246647063042384,2.2056036644939048,0.014721572372376167,1.2047090947232222
frozenset({'headache'}),frozenset({'vomiting'}),0.02212026128592717,0.12353374045238706,0.005901193992181839,0.26677777065572716,2.159553897411128,0.0031685953757471267,1.1953623669203872
"frozenset({'vomiting', 'diarrhea'})",frozenset({'fever'}),0.037660166656977856,0.09884712618091229,0.010031462636878067,0.2663679831331652,2.6947468623989366,0.006308863391341591,1.2283445284567787
"frozenset({'body pain', 'abdominal pain'})",frozenset({'vomiting'}),0.07594845175185494,0.12353374045238706,0.019745321368362396,0.259983197983758,2.104552141234337,0.010363125041888107,1.1843869722411737
frozenset({'body pain'}),frozenset({'abdominal pain'}),0.2937297332552557,0.0864648274942895,0.07594845175185494,0.2585657601297536,2.9904154975250523,0.050551161035995586,1.2321189437725215
frozenset({'headache'}),frozenset({'fever'}),0.02212026128592717,0.09884712618091229,0.005098676981231594,0.23049804499711557,2.331863898352014,0.002912152722746802,1.171085879587804
frozenset({'abdominal pain'}),"frozenset({'body pain', 'vomiting'})",0.0864648274942895,0.028008694406910152,0.019745321368362396,0.2283624676133941,8.153270705722496,0.01732355443812864,1.2596475220519765
frozenset({'abdominal pain'}),frozenset({'vomiting'}),0.0864648274942895,0.12353374045238706,0.019745321368362396,0.2283624676133941,1.8485837697224963,0.009063997810422416,1.1358522917318201
frozenset({'vomiting'}),frozenset({'fever'}),0.12353374045238706,0.09884712618091229,0.02693252760247334,0.21801758372931157,2.205603664493905,0.014721572372376167,1.1523953161462746
frozenset({'cough'}),frozenset({'fever'}),0.06014765745851654,0.09884712618091229,0.012305733459429646,0.2045920652507013,2.069782634613496,0.006360310373141372,1.1329442848758082
frozenset({'bleeding'}),frozenset({'vomiting'}),0.040959560799170826,0.12353374045238706,0.008210911679174683,0.20046386042647465,1.6227458157776609,0.0031510239263661463,1.096218439875804
frozenset({'vision'}),frozenset({'headache'}),0.04627659046536062,0.02212026128592717,0.00920484175810776,0.19890924689012804,8.9921743834316,0.008181191485592139,1.2206853404784634
frozenset({'diarrhea'}),"frozenset({'vomiting', 'fever'})",0.05060252580177263,0.02693252760247334,0.010031462636878067,0.1982403541707529,7.36062938825495,0.008668608713966956,1.213664815209175
frozenset({'cough'}),frozenset({'bleeding'}),0.06014765745851654,0.040959560799170826,0.011418143973820363,0.1898352231206242,4.6346986983431515,0.008954522341220555,1.1837597320570987
frozenset({'fever'}),frozenset({'diarrhea'}),0.09884712618091229,0.05060252580177263,0.017722014346054978,0.17928709746826366,3.543046411765935,0.012720100093054288,1.1567960869989062
frozenset({'rash'}),frozenset({'fever'}),0.03552626541761369,0.09884712618091229,0.006020295456704491,0.16946040868454662,1.7143685935228534,0.0025086262162330505,1.0850209709952456
frozenset({'vomiting'}),"frozenset({'body pain', 'abdominal pain'})",0.12353374045238706,0.07594845175185494,0.019745321368362396,0.15983747675779905,2.104552141234337,0.010363125041888107,1.0998485682058454
frozenset({'vomiting'}),frozenset({'abdominal pain'}),0.12353374045238706,0.0864648274942895,0.019745321368362396,0.15983747675779905,1.8485837697224965,0.009063997810422416,1.0873314950783133
frozenset({'fever'}),frozenset({'cough'}),0.09884712618091229,0.06014765745851654,0.012305733459429646,0.12449257692031844,2.069782634613496,0.006360310373141372,1.0734944305046124
frozenset({'abdominal pain'}),frozenset({'fever'}),0.0864648274942895,0.09884712618091229,0.010241308074370358,0.11844478698632385,1.1982623224629056,0.0016945083608315096,1.022230780915486
frozenset({'fever'}),frozenset({'abdominal pain'}),0.09884712618091229,0.0864648274942895,0.010241308074370358,0.10360754500466184,1.1982623224629056,0.0016945083608315096,1.0191241207072201
"frozenset({'body pain', 'abdominal pain'})",frozenset({'fever'}),0.07594845175185494,0.09884712618091229,0.007748684566860585,0.10202557640250164,1.032155211227609,0.0002413983733000509,1.0035395776740008
frozenset({'fever'}),"frozenset({'vomiting', 'diarrhea'})",0.09884712618091229,0.037660166656977856,0.010031462636878067,0.10148461593631213,2.6947468623989366,0.006308863391341591,1.0710332292705746
frozenset({'abdominal pain'}),"frozenset({'body pain', 'fever'})",0.0864648274942895,0.013676818176017786,0.007748684566860585,0.0896166081794628,6.552445680429163,0.006566120842600444,1.0834151750633156
frozenset({'vomiting'}),"frozenset({'diarrhea', 'fever'})",0.12353374045238706,0.017722014346054978,0.010031462636878067,0.08120423294998048,4.582110778397887,0.007842195916359032,1.0690928505338548
frozenset({'fever'}),"frozenset({'body pain', 'abdominal pain'})",0.09884712618091229,0.07594845175185494,0.007748684566860585,0.0783905902603457,1.032155211227609,0.0002413983733000509,1.0026498628189795
frozenset({'body pain'}),"frozenset({'abdominal pain', 'vomiting'})",0.2937297332552557,0.019745321368362396,0.019745321368362396,0.0672227532076346,3.4044902057327118,0.013945533389794009,1.0508990029533178
frozenset({'vomiting'}),frozenset({'bleeding'}),0.12353374045238706,0.040959560799170826,0.008210911679174683,0.06646695590294516,1.6227458157776609,0.0031510239263661463,1.0273235053274905
frozenset({'fever'}),frozenset({'rash'}),0.09884712618091229,0.03552626541761369,0.006020295456704491,0.060905113677113966,1.7143685935228534,0.0025086262162330505,1.0270247965664827
frozenset({'fever'}),frozenset({'headache'}),0.09884712618091229,0.02212026128592717,0.005098676981231594,0.051581438714767266,2.331863898352014,0.002912152722746802,1.0310634762239537
frozenset({'vomiting'}),frozenset({'headache'}),0.12353374045238706,0.02212026128592717,0.005901193992181839,0.047769896471776506,2.159553897411128,0.0031685953757471267,1.0269363834338063
frozenset({'body pain'}),frozenset({'chest'}),0.2937297332552557,0.014959994668791589,0.011067928953140663,0.037680655718712895,2.518761306601227,0.006673733709576462,1.0236103131303989
frozenset({'body pain'}),"frozenset({'abdominal pain', 'fever'})",0.2937297332552557,0.010241308074370358,0.007748684566860585,0.02638032071518908,2.575874148460372,0.004740507877990883,1.0165763007714406
