antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'abdominal pain', 'vomiting'})",frozenset({'body pain'}),0.019912833333333334,0.2939018333333333,0.019912833333333334,1.0,3.4024966386168627,0.014060415109805557,inf
frozenset({'abdominal pain'}),frozenset({'body pain'}),0.08660633333333333,0.2939018333333333,0.075973,0.8772222200839815,2.984745655155769,0.05051923985505556,5.751025691698015
"frozenset({'abdominal pain', 'fever'})",frozenset({'body pain'}),0.010033333333333333,0.2939018333333333,0.007564166666666667,0.7539036544850498,2.5651546502263507,0.0046153516055555555,2.869194035324558
frozenset({'diarrhea'}),frozenset({'vomiting'}),0.05082266666666667,0.12427266666666667,0.03802733333333334,0.7482356953590262,6.020919285219809,0.03171146501955556,3.4783617740495676
frozenset({'chest'}),frozenset({'body pain'}),0.015058666666666666,0.2939018333333333,0.011149833333333333,0.7404263325659642,2.519298107699105,0.006724063592444445,2.7202226390937905
"frozenset({'body pain', 'vomiting'})",frozenset({'abdominal pain'}),0.028058,0.08660633333333333,0.019912833333333334,0.7097025209684701,8.194579930279966,0.01748283283266667,3.1464057824885927
"frozenset({'diarrhea', 'fever'})",frozenset({'vomiting'}),0.017739,0.12427266666666667,0.010066166666666666,0.5674596463536087,4.566246637932788,0.007861693832666666,2.02461417981189
"frozenset({'body pain', 'fever'})",frozenset({'abdominal pain'}),0.013448666666666666,0.08660633333333333,0.007564166666666667,0.5624473305903932,6.494297921904017,0.006399426958444445,2.087505643375724
frozenset({'headache'}),frozenset({'vision'}),0.02206083333333333,0.04624966666666667,0.0090115,0.4084841158916633,8.832152647406394,0.007991193811944445,1.6123833001898777
"frozenset({'vomiting', 'fever'})",frozenset({'diarrhea'}),0.027091666666666667,0.05082266666666667,0.010066166666666666,0.37155952014764687,7.310901700310495,0.008689295922222222,1.5103694999983686
frozenset({'diarrhea'}),frozenset({'fever'}),0.05082266666666667,0.09931383333333334,0.017739,0.3490371750137734,3.5144869883561713,0.012691606153111112,1.3836215097009938
frozenset({'vomiting'}),frozenset({'diarrhea'}),0.12427266666666667,0.05082266666666667,0.03802733333333334,0.30599917385963127,6.020919285219809,0.03171146501955556,1.3676890539339972
frozenset({'bleeding'}),frozenset({'cough'}),0.040641,0.060185333333333334,0.011253833333333333,0.2769083765983449,4.600927855042395,0.008807841201333332,1.2997172643841133
frozenset({'fever'}),frozenset({'vomiting'}),0.09931383333333334,0.12427266666666667,0.027091666666666667,0.27278845008164354,2.1950800397108794,0.014749671761444443,1.2042263814864473
