antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'abdominal pain', 'vomiting'})",frozenset({'body pain'}),0.026241248463470687,0.30516421015615863,0.026241248463470687,1.0,3.276924248385091,0.018233358602604145,inf
frozenset({'cramp'}),frozenset({'abdominal pain'}),0.007275422734359932,0.10935828649194189,0.00664028522321598,0.9127009475141062,8.345969718365685,0.005844657459481859,10.202192213391694
frozenset({'abdominal pain'}),frozenset({'body pain'}),0.10935828649194189,0.30516421015615863,0.09557192971041602,0.8739340453862934,2.863815664815621,0.06219969458907166,5.511684673098051
frozenset({'diarrhea'}),frozenset({'vomiting'}),0.06380808313175462,0.15613384051387272,0.049298289233876996,0.7726025734401555,4.948335164864587,0.03933568815868769,3.710974975629488
frozenset({'chest'}),frozenset({'body pain'}),0.013414568970124526,0.30516421015615863,0.009953844092330405,0.7420174374963913,2.431534933656493,0.00586019774797704,2.6933440117066896
"frozenset({'abdominal pain', 'fever'})",frozenset({'body pain'}),0.012246535595971988,0.30516421015615863,0.009027472795588737,0.7371450256150781,2.415568409014498,0.005290268433294664,2.64341883378753
"frozenset({'body pain', 'vomiting'})",frozenset({'abdominal pain'}),0.03690381307128489,0.10935828649194189,0.026241248463470687,0.7110714660510022,6.502218431370519,0.022205510700976046,3.0825675170776865
"frozenset({'body pain', 'fever'})",frozenset({'abdominal pain'}),0.014354107751853324,0.10935828649194189,0.009027472795588737,0.6289121519533779,5.750932756245404,0.007457732167725358,2.4000832099362124
"frozenset({'diarrhea', 'fever'})",frozenset({'vomiting'}),0.021095085507323832,0.15613384051387272,0.012204709467189339,0.5785570038553333,3.7055195846791946,0.008911052750962331,2.0023257408611848
frozenset({'headache'}),frozenset({'vision'}),0.020794557026441084,0.043767170981341676,0.009200973774242695,0.44247029463254745,10.109638907691254,0.00829085484138519,1.715124449536606
"frozenset({'vomiting', 'fever'})",frozenset({'diarrhea'}),0.03307904596149363,0.06380808313175462,0.012204709467189339,0.36895590886739876,5.782275391435239,0.01009399895255922,1.4835602298216013
