antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'abdominal pain', 'vomiting'})",frozenset({'body pain'}),0.006319454650282058,0.26923816091434255,0.006319454650282058,1.0,3.71418374202217,0.004618016302258526,inf
frozenset({'abdominal pain'}),frozenset({'body pain'}),0.04033598245475203,0.26923816091434255,0.03627751336807714,0.8993834080717488,3.34047523210458,0.02541752763328652,7.262836328294214
frozenset({'chest'}),frozenset({'body pain'}),0.018155714075765626,0.26923816091434255,0.013125021196739658,0.7229140722291407,2.685035693952515,0.008236810128893879,2.637311266452957
"frozenset({'body pain', 'vomiting'})",frozenset({'abdominal pain'}),0.009439614728059962,0.04033598245475203,0.006319454650282058,0.6694610778443113,16.597118431298835,0.005938698516231413,2.9033313574285575
frozenset({'diarrhea'}),frozenset({'vomiting'}),0.023762958273511423,0.06009699628067875,0.015386006760346835,0.6474785918173168,10.773892738221292,0.013957924345365694,2.6662295733036614
"frozenset({'diarrhea', 'fever'})",frozenset({'vomiting'}),0.010355313881320868,0.06009699628067875,0.005833342754106515,0.5633187772925764,9.373493055487101,0.005211019494295514,2.1523778785172456
frozenset({'diarrhea'}),frozenset({'fever'}),0.023762958273511423,0.0879636433521372,0.010355313881320868,0.43577545195052336,4.954040502915749,0.008265037494757991,1.6164421767907315
"frozenset({'vomiting', 'diarrhea'})",frozenset({'fever'}),0.015386006760346835,0.0879636433521372,0.005833342754106515,0.37913299044819987,4.310110131869479,0.004479933542825794,1.4689721673346052
"frozenset({'vomiting', 'fever'})",frozenset({'diarrhea'}),0.015465141255073086,0.023762958273511423,0.005833342754106515,0.37719298245614036,15.873149214615989,0.005465845247768253,1.5674791937580241
frozenset({'headache'}),frozenset({'vision'}),0.024554303220773937,0.05054433227443843,0.008795233842431915,0.358195211786372,7.086753265262158,0.007554152981673804,1.4793527333571879
frozenset({'headache'}),frozenset({'fever'}),0.024554303220773937,0.0879636433521372,0.006398589145008309,0.26058931860036827,2.9624661811377426,0.004238703173735916,1.2334638646570097
frozenset({'vomiting'}),frozenset({'fever'}),0.06009699628067875,0.0879636433521372,0.015465141255073086,0.25733634311512416,2.9254852721931033,0.010178790507704745,1.2280611124468181
frozenset({'vomiting'}),frozenset({'diarrhea'}),0.06009699628067875,0.023762958273511423,0.015386006760346835,0.2560195635816403,10.773892738221292,0.013957924345365694,1.3121810654407111
frozenset({'cough'}),frozenset({'fever'}),0.06112574471212001,0.0879636433521372,0.015080773709259867,0.24671721842056593,2.804763525231718,0.009703930501769155,1.210748976281609
frozenset({'diarrhea'}),"frozenset({'vomiting', 'fever'})",0.023762958273511423,0.015465141255073086,0.005833342754106515,0.24548049476688868,15.873149214615989,0.005465845247768253,1.3048501091310445
frozenset({'headache'}),frozenset({'vomiting'}),0.024554303220773937,0.06009699628067875,0.005030692879025967,0.20488029465930016,3.409160313144792,0.0035550530096924576,1.1820899386672643
frozenset({'fever'}),frozenset({'vomiting'}),0.0879636433521372,0.06009699628067875,0.015465141255073086,0.17581287752216937,2.925485272193103,0.010178790507704745,1.1404000112178447
"frozenset({'body pain', 'abdominal pain'})",frozenset({'vomiting'}),0.03627751336807714,0.06009699628067875,0.006319454650282058,0.17419756933624184,2.898606920762969,0.004139285064328452,1.1381693354472837
frozenset({'vision'}),frozenset({'headache'}),0.05054433227443843,0.024554303220773937,0.008795233842431915,0.1740102885260568,7.086753265262157,0.007554152981673804,1.1809417033035257
