antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'abdominal pain', 'vomiting'})",frozenset({'body pain'}),0.019022619503431214,0.29271345683739286,0.019022619503431214,1.0,3.4163103083966395,0.013454442790479453,inf
frozenset({'abdominal pain'}),frozenset({'body pain'}),0.08412548228433422,0.29271345683739286,0.07388338291167201,0.8782521170215094,3.0003817607517544,0.04925872218411169,5.8094360728027175
"frozenset({'abdominal pain', 'fever'})",frozenset({'body pain'}),0.009757974258533855,0.29271345683739286,0.007383368185432804,0.756649688737974,2.584950131480649,0.004527077808487064,2.906454236670528
frozenset({'diarrhea'}),frozenset({'vomiting'}),0.049715783583188525,0.12144545400995493,0.03703465084086826,0.7449274289099527,6.13384366654754,0.030996894932147266,3.4443317140512617
frozenset({'chest'}),frozenset({'body pain'}),0.01506678349483109,0.29271345683739286,0.011127514505345625,0.7385461209529628,2.523102726237958,0.006717264225153041,2.7052057737317483
"frozenset({'body pain', 'vomiting'})",frozenset({'abdominal pain'}),0.027068668453450358,0.08412548228433422,0.019022619503431214,0.7027541652499151,8.353642037672827,0.01674545471498996,3.081202192406513
"frozenset({'diarrhea', 'fever'})",frozenset({'vomiting'}),0.01724442611845787,0.12144545400995493,0.009798471416369688,0.5682109308283518,4.678733637751277,0.007704214257272447,2.0346845455710114
"frozenset({'body pain', 'fever'})",frozenset({'abdominal pain'}),0.013246252172120283,0.08412548228433422,0.007383368185432804,0.5573929961089494,6.625733142605076,0.006269020832993275,2.0692725367290206
frozenset({'headache'}),frozenset({'vision'}),0.022015727623479517,0.046647203487173446,0.008992209819456308,0.4084448160535117,8.756040781004621,0.007965237693085672,1.6116041620202692
"frozenset({'vomiting', 'fever'})",frozenset({'diarrhea'}),0.026569817100108976,0.049715783583188525,0.009798471416369688,0.36878204239988915,7.4178060933669645,0.008477532139575769,1.505477157256092
frozenset({'diarrhea'}),frozenset({'fever'}),0.049715783583188525,0.09814118045533532,0.01724442611845787,0.3468601895734597,3.5342981199550376,0.012365260430341767,1.3808051586316499
frozenset({'vomiting'}),frozenset({'diarrhea'}),0.12144545400995493,0.049715783583188525,0.03703465084086826,0.3049488442591891,6.13384366654754,0.030996894932147266,1.3672147849376122
frozenset({'bleeding'}),frozenset({'cough'}),0.04006641533885076,0.06024504462050482,0.010936073395576238,0.27294863548653864,4.530640440319944,0.008522270415703494,1.2925564839677783
frozenset({'fever'}),frozenset({'vomiting'}),0.09814118045533532,0.12144545400995493,0.026569817100108976,0.27073056363124826,2.22923588073586,0.014651016882637861,1.2047050132316364
frozenset({'headache'}),frozenset({'vomiting'}),0.022015727623479517,0.12144545400995493,0.00586288398668748,0.266304347826087,2.1927897589666707,0.003189173950094504,1.1974373071271724
"frozenset({'vomiting', 'diarrhea'})",frozenset({'fever'}),0.03703465084086826,0.09814118045533532,0.009798471416369688,0.26457577414384414,2.6958690828490113,0.006163847065095701,1.226311002326244
"frozenset({'body pain', 'abdominal pain'})",frozenset({'vomiting'}),0.07388338291167201,0.12144545400995493,0.019022619503431214,0.25746817151256945,2.120031363969084,0.010049818521931861,1.183187726483993
frozenset({'body pain'}),frozenset({'abdominal pain'}),0.29271345683739286,0.08412548228433422,0.07388338291167201,0.2524085626603612,3.000381760751754,0.04925872218411169,1.225100331505769
frozenset({'headache'}),frozenset({'fever'}),0.022015727623479517,0.09814118045533532,0.005148661384855536,0.23386287625418062,2.3829230010190585,0.002988011887304122,1.177150658272857
frozenset({'abdominal pain'}),"frozenset({'body pain', 'vomiting'})",0.08412548228433422,0.027068668453450358,0.019022619503431214,0.2261219666965712,8.353642037672826,0.01674545471498996,1.2572153358500542
frozenset({'abdominal pain'}),frozenset({'vomiting'}),0.08412548228433422,0.12144545400995493,0.019022619503431214,0.2261219666965712,1.8619220335578464,0.008805962113603823,1.135262287055477
