antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'body pain', 'vomiting', 'vision'})",frozenset({'headache'}),0.010893329265812487,0.011452613382143583,0.010893329265812487,1.0,87.31631520532741,0.010768572177286747,inf
"frozenset({'headache', 'body pain'})","frozenset({'vomiting', 'vision'})",0.010893329265812487,0.021354484441732765,0.010893329265812487,1.0,46.82857142857143,0.010660707835487022,inf
"frozenset({'headache', 'body pain'})",frozenset({'vision'}),0.010893329265812487,0.02244763066910718,0.010893329265812487,1.0,44.54813137032843,0.010648799833696551,inf
"frozenset({'headache', 'body pain', 'vomiting'})",frozenset({'vision'}),0.010893329265812487,0.02244763066910718,0.010893329265812487,1.0,44.54813137032843,0.010648799833696551,inf
"frozenset({'abdominal pain', 'vomiting'})",frozenset({'body pain'}),0.08363839739678666,0.4073495017286964,0.08363839739678666,1.0,2.4548943738883513,0.04956833789181892,inf
"frozenset({'headache', 'vomiting', 'vision'})",frozenset({'body pain'}),0.010893329265812487,0.4073495017286964,0.010893329265812487,1.0,2.4548943738883513,0.0064559370172171445,inf
"frozenset({'headache', 'body pain'})",frozenset({'vomiting'}),0.010893329265812487,0.43148769574944074,0.010893329265812487,1.0,2.3175631885936485,0.00619299172186711,inf
"frozenset({'headache', 'body pain', 'vision'})",frozenset({'vomiting'}),0.010893329265812487,0.43148769574944074,0.010893329265812487,1.0,2.3175631885936485,0.00619299172186711,inf
frozenset({'cramp'}),frozenset({'abdominal pain'}),0.021100264388854994,0.30544539353264183,0.021087553386211103,0.9993975903614457,3.2719353819773476,0.014642574826314501,1152.9606467356728
"frozenset({'body pain', 'fever'})",frozenset({'abdominal pain'}),0.02052826926988001,0.30544539353264183,0.0204265812487289,0.995046439628483,3.257690116456597,0.014156315963046364,140.2132111806001
"frozenset({'headache', 'vomiting'})","frozenset({'body pain', 'vision'})",0.010982306284319707,0.011058572300183039,0.010893329265812487,0.991898148148148,89.6949553001277,0.010771880637744582,122.06362764751847
"frozenset({'headache', 'vomiting'})",frozenset({'vision'}),0.010982306284319707,0.02244763066910718,0.010893329265812487,0.991898148148148,44.187209009689184,0.010646802510447063,120.65789244312558
"frozenset({'headache', 'vomiting'})",frozenset({'body pain'}),0.010982306284319707,0.4073495017286964,0.010893329265812487,0.991898148148148,2.435005183359163,0.006419692273062923,73.15000435805698
"frozenset({'headache', 'vision'})","frozenset({'body pain', 'vomiting'})",0.011020439292251372,0.11570825706731747,0.010893329265812487,0.9884659746251442,8.542743618115933,0.009618173443189899,76.66809411226363
