antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'body pain', 'vomiting', 'vision'})",frozenset({'headache'}),0.00966138696641739,0.010869060337219565,0.00966138696641739,1.0,92.0042735042735,0.009556376768538172,inf
"frozenset({'headache', 'body pain'})","frozenset({'vomiting', 'vision'})",0.00966138696641739,0.01997305959403595,0.00966138696641739,1.0,50.06744186046512,0.009468419508776093,inf
"frozenset({'headache', 'body pain'})",frozenset({'vision'}),0.00966138696641739,0.022341957359840216,0.00966138696641739,1.0,44.75883575883576,0.009445532670776776,inf
"frozenset({'headache', 'body pain', 'vomiting'})",frozenset({'vision'}),0.00966138696641739,0.022341957359840216,0.00966138696641739,1.0,44.75883575883576,0.009445532670776776,inf
"frozenset({'abdominal pain', 'vomiting'})",frozenset({'body pain'}),0.08407264619815133,0.4005295183241209,0.08407264619815133,1.0,2.4966948857706135,0.05039906971217154,inf
"frozenset({'headache', 'vomiting', 'vision'})",frozenset({'body pain'}),0.00966138696641739,0.4005295183241209,0.00966138696641739,1.0,2.4966948857706135,0.005791716298415293,inf
"frozenset({'headache', 'body pain'})",frozenset({'vomiting'}),0.00966138696641739,0.4221282920711598,0.00966138696641739,1.0,2.368948063380282,0.0055830421872450535,inf
"frozenset({'headache', 'body pain', 'vision'})",frozenset({'vomiting'}),0.00966138696641739,0.4221282920711598,0.00966138696641739,1.0,2.368948063380282,0.0055830421872450535,inf
frozenset({'cramp'}),frozenset({'abdominal pain'}),0.02071624320683729,0.2997816898137396,0.02062334525523712,0.9955156950672646,3.3208022000469692,0.014412994860099036,156.14868317153562
"frozenset({'headache', 'vomiting'})","frozenset({'body pain', 'vision'})",0.009707835942217474,0.009940080821217893,0.00966138696641739,0.9952153110047847,100.12145061038322,0.009564890292552624,206.92252310836437
"frozenset({'headache', 'vomiting'})",frozenset({'vision'}),0.009707835942217474,0.022341957359840216,0.00966138696641739,0.9952153110047847,44.54467864994181,0.009444494909740043,204.33053091179232
"frozenset({'headache', 'vomiting'})",frozenset({'body pain'}),0.009707835942217474,0.4005295183241209,0.00966138696641739,0.9952153110047847,2.4847489772262565,0.005773112112511436,125.28933067025808
"frozenset({'body pain', 'fever'})",frozenset({'abdominal pain'}),0.02173812067443913,0.2997816898137396,0.021134283989038043,0.9722222222222222,3.2431007471679925,0.014617593439879692,25.207859166705365
"frozenset({'body pain', 'vision'})","frozenset({'headache', 'vomiting'})",0.009940080821217893,0.009707835942217474,0.00966138696641739,0.9719626168224298,100.1214506103832,0.009564890292552624,35.320420518060764
"frozenset({'body pain', 'vision'})",frozenset({'headache'}),0.009940080821217893,0.010869060337219565,0.00966138696641739,0.9719626168224298,89.42471443406022,0.009553347628214734,35.27900351463902
"frozenset({'body pain', 'vision'})",frozenset({'vomiting'}),0.009940080821217893,0.4221282920711598,0.00966138696641739,0.9719626168224298,2.302528958799526,0.005465397626307389,20.61075758279522
frozenset({'headache'}),frozenset({'vision'}),0.010869060337219565,0.022341957359840216,0.010404570579218729,0.9572649572649573,42.84606499991116,0.010161734496623038,22.87719819777976
"frozenset({'headache', 'vision'})","frozenset({'body pain', 'vomiting'})",0.010404570579218729,0.11352129685540434,0.00966138696641739,0.9285714285714285,8.179711246200608,0.008480246621040894,12.410701844024326
"frozenset({'headache', 'vision'})",frozenset({'body pain'}),0.010404570579218729,0.4005295183241209,0.00966138696641739,0.9285714285714285,2.318359536786998,0.005494049323953592,8.3925867434623
"frozenset({'headache', 'vision'})",frozenset({'vomiting'}),0.010404570579218729,0.4221282920711598,0.00966138696641739,0.9285714285714285,2.1997374874245472,0.0052693233580779495,8.090203911003755
frozenset({'vision'}),frozenset({'vomiting'}),0.022341957359840216,0.4221282920711598,0.01997305959403595,0.8939708939708939,2.1177706179906886,0.01054188729219992,5.450123363015138
frozenset({'headache'}),frozenset({'vomiting'}),0.010869060337219565,0.4221282920711598,0.009707835942217474,0.8931623931623931,2.115855321566149,0.005119698065648595,5.408879186213942
frozenset({'headache'}),"frozenset({'body pain', 'vomiting', 'vision'})",0.010869060337219565,0.00966138696641739,0.00966138696641739,0.8888888888888888,92.0042735042735,0.009556376768538172,8.913047517302239
frozenset({'headache'}),"frozenset({'body pain', 'vision'})",0.010869060337219565,0.009940080821217893,0.00966138696641739,0.8888888888888888,89.42471443406022,0.009553347628214734,8.910539272609036
frozenset({'headache'}),"frozenset({'vomiting', 'vision'})",0.010869060337219565,0.01997305959403595,0.00966138696641739,0.8888888888888888,44.50439276485788,0.00944429857657093,8.820242463653672
frozenset({'headache'}),"frozenset({'body pain', 'vomiting'})",0.010869060337219565,0.11352129685540434,0.00966138696641739,0.8888888888888888,7.830150936533915,0.008427517141336587,7.978308328301357
frozenset({'headache'}),frozenset({'body pain'}),0.010869060337219565,0.4005295183241209,0.00966138696641739,0.8888888888888888,2.219284342907212,0.00530800746491503,5.39523433508291
frozenset({'abdominal pain'}),frozenset({'body pain'}),0.2997816898137396,0.4005295183241209,0.2595568767708672,0.8658196467307097,2.1616874839922824,0.13948546094737904,4.467647215630628
frozenset({'rash'}),frozenset({'vomiting'}),0.013284407078823912,0.4221282920711598,0.0110548562404199,0.8321678321678322,1.9713623744213533,0.0054471321690579355,3.4431522597426736
