antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'abdominal pain'}),"frozenset({'body pain', 'fever'})",0.011627906976744186,0.023255813953488372,0.011627906976744186,1.0,43.0,0.011357490535424553,inf
frozenset({'abdominal pain'}),frozenset({'fever'}),0.011627906976744186,0.11627906976744186,0.011627906976744186,1.0,8.6,0.010275824770146024,inf
"frozenset({'body pain', 'abdominal pain'})",frozenset({'fever'}),0.011627906976744186,0.11627906976744186,0.011627906976744186,1.0,8.6,0.010275824770146024,inf
frozenset({'abdominal pain'}),frozenset({'body pain'}),0.011627906976744186,0.29069767441860467,0.011627906976744186,1.0,3.44,0.008247701460248783,inf
"frozenset({'abdominal pain', 'fever'})",frozenset({'body pain'}),0.011627906976744186,0.29069767441860467,0.011627906976744186,1.0,3.44,0.008247701460248783,inf
"frozenset({'body pain', 'fever'})",frozenset({'abdominal pain'}),0.023255813953488372,0.011627906976744186,0.011627906976744186,0.5,43.0,0.011357490535424553,1.9767441860465116
frozenset({'headache'}),frozenset({'vomiting'}),0.023255813953488372,0.03488372093023256,0.011627906976744186,0.5,14.333333333333334,0.01081665765278529,1.930232558139535
frozenset({'rash'}),frozenset({'fever'}),0.046511627906976744,0.11627906976744186,0.023255813953488372,0.5,4.3,0.017847485127095726,1.7674418604651163
frozenset({'headache'}),frozenset({'fever'}),0.023255813953488372,0.11627906976744186,0.011627906976744186,0.5,4.3,0.008923742563547863,1.7674418604651163
frozenset({'cough'}),frozenset({'fever'}),0.046511627906976744,0.11627906976744186,0.023255813953488372,0.5,4.3,0.017847485127095726,1.7674418604651163
frozenset({'vision'}),frozenset({'body pain'}),0.046511627906976744,0.29069767441860467,0.023255813953488372,0.5,1.72,0.00973499188750676,1.4186046511627906
frozenset({'vomiting'}),frozenset({'headache'}),0.03488372093023256,0.023255813953488372,0.011627906976744186,0.3333333333333333,14.333333333333332,0.01081665765278529,1.4651162790697672
frozenset({'vomiting'}),frozenset({'fever'}),0.03488372093023256,0.11627906976744186,0.011627906976744186,0.3333333333333333,2.8666666666666667,0.0075716603569497025,1.3255813953488371
frozenset({'fever'}),frozenset({'rash'}),0.11627906976744186,0.046511627906976744,0.023255813953488372,0.2,4.300000000000001,0.017847485127095726,1.191860465116279
frozenset({'fever'}),frozenset({'cough'}),0.11627906976744186,0.046511627906976744,0.023255813953488372,0.2,4.300000000000001,0.017847485127095726,1.191860465116279
frozenset({'fever'}),frozenset({'abdominal pain'}),0.11627906976744186,0.011627906976744186,0.011627906976744186,0.1,8.600000000000001,0.010275824770146024,1.0981912144702841
frozenset({'fever'}),"frozenset({'body pain', 'abdominal pain'})",0.11627906976744186,0.011627906976744186,0.011627906976744186,0.1,8.600000000000001,0.010275824770146024,1.0981912144702841
frozenset({'fever'}),frozenset({'headache'}),0.11627906976744186,0.023255813953488372,0.011627906976744186,0.1,4.300000000000001,0.008923742563547863,1.0852713178294573
frozenset({'fever'}),frozenset({'vomiting'}),0.11627906976744186,0.03488372093023256,0.011627906976744186,0.1,2.8666666666666667,0.0075716603569497025,1.0723514211886305
frozenset({'body pain'}),frozenset({'vision'}),0.29069767441860467,0.046511627906976744,0.023255813953488372,0.07999999999999999,1.7199999999999998,0.00973499188750676,1.0364004044489383
frozenset({'body pain'}),frozenset({'abdominal pain'}),0.29069767441860467,0.011627906976744186,0.011627906976744186,0.039999999999999994,3.4399999999999995,0.008247701460248783,1.0295542635658914
frozenset({'body pain'}),"frozenset({'abdominal pain', 'fever'})",0.29069767441860467,0.011627906976744186,0.011627906976744186,0.039999999999999994,3.4399999999999995,0.008247701460248783,1.0295542635658914
