antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'abdominal pain'}),frozenset({'body pain'}),0.017857142857142856,0.2357142857142857,0.017857142857142856,1.0,4.242424242424242,0.01364795918367347,inf
frozenset({'chest'}),frozenset({'body pain'}),0.025,0.2357142857142857,0.02142857142857143,0.8571428571428571,3.6363636363636362,0.015535714285714285,5.349999999999998
frozenset({'vomiting'}),frozenset({'diarrhea'}),0.06428571428571428,0.06785714285714285,0.039285714285714285,0.6111111111111112,9.005847953216376,0.034923469387755104,2.3969387755102045
frozenset({'diarrhea'}),frozenset({'vomiting'}),0.06785714285714285,0.06428571428571428,0.039285714285714285,0.5789473684210527,9.005847953216376,0.034923469387755104,2.2223214285714286
frozenset({'headache'}),frozenset({'vision'}),0.025,0.05714285714285714,0.014285714285714285,0.5714285714285714,10.0,0.012857142857142857,2.1999999999999997
"frozenset({'diarrhea', 'fever'})",frozenset({'vomiting'}),0.014285714285714285,0.06428571428571428,0.007142857142857143,0.5,7.777777777777779,0.006224489795918367,1.8714285714285714
"frozenset({'vomiting', 'fever'})",frozenset({'diarrhea'}),0.017857142857142856,0.06785714285714285,0.007142857142857143,0.4,5.894736842105264,0.005931122448979592,1.5535714285714286
frozenset({'cough'}),frozenset({'fever'}),0.05714285714285714,0.08928571428571429,0.02142857142857143,0.375,4.2,0.0163265306122449,1.457142857142857
frozenset({'vomiting'}),frozenset({'fever'}),0.06428571428571428,0.08928571428571429,0.017857142857142856,0.2777777777777778,3.111111111111111,0.01211734693877551,1.260989010989011
frozenset({'vision'}),frozenset({'headache'}),0.05714285714285714,0.025,0.014285714285714285,0.25,10.0,0.012857142857142857,1.3
frozenset({'vision'}),frozenset({'body pain'}),0.05714285714285714,0.2357142857142857,0.014285714285714285,0.25,1.0606060606060606,0.0008163265306122443,1.019047619047619
frozenset({'fever'}),frozenset({'cough'}),0.08928571428571429,0.05714285714285714,0.02142857142857143,0.24,4.2,0.0163265306122449,1.2406015037593985
frozenset({'diarrhea'}),frozenset({'fever'}),0.06785714285714285,0.08928571428571429,0.014285714285714285,0.2105263157894737,2.3578947368421055,0.00822704081632653,1.1535714285714285
frozenset({'fever'}),frozenset({'vomiting'}),0.08928571428571429,0.06428571428571428,0.017857142857142856,0.19999999999999998,3.111111111111111,0.01211734693877551,1.169642857142857
"frozenset({'vomiting', 'diarrhea'})",frozenset({'fever'}),0.039285714285714285,0.08928571428571429,0.007142857142857143,0.18181818181818182,2.036363636363636,0.003635204081632653,1.1130952380952381
frozenset({'fever'}),frozenset({'diarrhea'}),0.08928571428571429,0.06785714285714285,0.014285714285714285,0.16,2.3578947368421055,0.00822704081632653,1.1096938775510206
frozenset({'cough'}),frozenset({'injury'}),0.05714285714285714,0.09642857142857143,0.007142857142857143,0.125,1.2962962962962963,0.0016326530612244894,1.0326530612244897
frozenset({'vomiting'}),"frozenset({'diarrhea', 'fever'})",0.06428571428571428,0.014285714285714285,0.007142857142857143,0.11111111111111112,7.777777777777779,0.006224489795918367,1.1089285714285715
frozenset({'diarrhea'}),"frozenset({'vomiting', 'fever'})",0.06785714285714285,0.017857142857142856,0.007142857142857143,0.10526315789473685,5.894736842105264,0.005931122448979592,1.097689075630252
frozenset({'body pain'}),frozenset({'chest'}),0.2357142857142857,0.025,0.02142857142857143,0.09090909090909091,3.6363636363636362,0.015535714285714285,1.0725
frozenset({'fever'}),"frozenset({'vomiting', 'diarrhea'})",0.08928571428571429,0.039285714285714285,0.007142857142857143,0.08,2.0363636363636366,0.003635204081632653,1.0442546583850931
frozenset({'body pain'}),frozenset({'abdominal pain'}),0.2357142857142857,0.017857142857142856,0.017857142857142856,0.07575757575757576,4.242424242424243,0.01364795918367347,1.0626463700234192
frozenset({'injury'}),frozenset({'cough'}),0.09642857142857143,0.05714285714285714,0.007142857142857143,0.07407407407407407,1.2962962962962963,0.0016326530612244894,1.0182857142857142
frozenset({'body pain'}),frozenset({'vision'}),0.2357142857142857,0.05714285714285714,0.014285714285714285,0.06060606060606061,1.0606060606060608,0.0008163265306122443,1.0036866359447003
