Syndrome,Iran_hosp,Iran_Dead,Colombia_Hosp,Colombia_Dead,Lebanon_Hosp,Lebanon_Dead,Thailand_Hosp,Thailand_Dead,Turkey_Hosp,Turkey_Dead,Venezuela_Hosp,Venezuela_Dead,Yemen_Hosp,Yemen_Dead,Aleppo_Hosp,Aleppo_Dead,Nairobi_Hosp,Nairobi_Dead,Karachi_Hosp,Karachi_Dead,Saudiarabia_Hosp,Saudiarabia_Dead,All_Hosp,All_Dead
bleeding,cough,,cough,cough,cough,cough,,,,,cough,cough,cough,cough,cough,cough,cough,cough,cough,cough,vomiting,cough,cough,vomiting
abscess,,,,,,,,,,,,,,,,,,,,,,,,
dizziness,,,,,,,,,,,,,,,,,,,,,,,,
breathing,,,,,,,,,,,,,,,,,,,,,,,,
chest,body pain,,body pain,,body pain,,body pain,,body pain,body pain,body pain,,body pain,,body pain,,body pain,,body pain,,body pain,,body pain,
urinate,,,,,,,,,,,,,,,,,,,,,,,,
Vocal Problems,,,,,,,,,,,,,,,,,,,,,,,,
vomiting,abdominal pain,body pain,abdominal pain,body pain,abdominal pain,body pain,abdominal pain,headache,abdominal pain,diarrhea,abdominal pain,body pain,abdominal pain,body pain,abdominal pain,body pain,abdominal pain,body pain,abdominal pain,body pain,abdominal pain,body pain,abdominal pain,body pain
headache,vomiting,body pain,,body pain,vision,body pain,vision,vomiting,vision,vision,vision,body pain,vision,body pain,vision,vomiting,vision,body pain,vision,body pain,vision,body pain,vision,body pain
laceration,,,,,,,,,,,,,,,,,,,,,,,,
cramp,,abdominal pain,,abdominal pain,,abdominal pain,,,,,abdominal pain,abdominal pain,abdominal pain,abdominal pain,abdominal pain,abdominal pain,abdominal pain,abdominal pain,,abdominal pain,,abdominal pain,abdominal pain,abdominal pain
pregnant,,,,,,,,,,,,,,,,,,,,,,,,
migraine,,,,,,,,,,,,,,,,,,,,,,,,
rash,,vomiting,fever,vomiting,fever,vomiting,fever,fever,fever,,fever,vomiting,fever,vomiting,fever,vomiting,fever,vomiting,fever,vomiting,fever,vomiting,fever,vomiting
fatigue,,,,,,,,,,,,,,,,,,,,,,,,
injury,,,,,,,,,,cough,,,,,,,,,,,,,,cough
deficit,,,,,,,,,,,,,,,,,,,,,,,,
vaginal,,,,,,,,,,,,,,,,,,,,,,,,
diarrhea,vomiting,vomiting,fever,vomiting,vomiting,vomiting,vomiting,,vomiting,vomiting,vomiting,vomiting,vomiting,vomiting,vomiting,vomiting,vomiting,vomiting,vomiting,vomiting,vomiting,vomiting,vomiting,vomiting
abdominal pain,vomiting,body pain,vomiting,cramp,vomiting,cramp,body pain,body pain,body pain,body pain,body pain,body pain,body pain,cramp,body pain,vomiting,body pain,vomiting,body pain,cramp,vomiting,body pain,body pain,vomiting
infections,,,,,,,,,,,,,,,,,,,,,,,,
cough,bleeding,,bleeding,bleeding,bleeding,bleeding,fever,fever,fever,fever,bleeding,bleeding,bleeding,bleeding,bleeding,bleeding,bleeding,bleeding,bleeding,bleeding,fever,bleeding,bleeding,bleeding
diabetic,,,,,,,,,,,,,,,,,,,,,,,,
body pain,abdominal pain,vomiting,abdominal pain,vomiting,vomiting,vomiting,abdominal pain,abdominal pain,abdominal pain,abdominal pain,abdominal pain,vision,abdominal pain,vomiting,abdominal pain,vomiting,abdominal pain,vomiting,abdominal pain,vomiting,abdominal pain,vomiting,abdominal pain,vomiting
Heart Problems,,,,,,,,,,,,,,,,,,,,,,,,
fever,body pain,diarrhea,body pain,body pain,abdominal pain,body pain,diarrhea,abdominal pain,diarrhea,vomiting,diarrhea,body pain,abdominal pain,body pain,abdominal pain,body pain,body pain,abdominal pain,abdominal pain,body pain,abdominal pain,body pain,body pain,abdominal pain
vision,,body pain,,vomiting,headache,vomiting,headache,body pain,headache,headache,headache,body pain,headache,body pain,headache,body pain,headache,vomiting,headache,body pain,headache,body pain,headache,body pain
others,,,,,,,,,,,,,,,,,,,,,,,,
